Direction,Month,Hour,Total_Carriageway_Flow,Total_Flow_vehicles_less_than_5pt2m,Total_Flow_vehicles_5pt21m_6pt6m,Total_Flow_vehicles_6pt61m_11pt6m,Total_Flow_vehicles_above_11pt6m,Speed_Value,WeekDay
M621_J3toJ2A_EB,3,0,62,137,25,7,4,81,0
M621_J4_WB,2,19,55,32,35,2,3,89,1
M621_J4_EB,3,1,250,305,16,6,1,80,2
M621_J3toJ2A_EB,1,19,311,46,87,4,3,80,4
M621_J1toM62_WB,4,2,183,1097,11,6,15,112,4
M621_J4_EB,10,11,30,490,16,4,9,111,1
M621_J1toM62_WB,3,11,203,269,3,7,7,112,2
M621_J7toJ6_WB,1,1,387,136,17,17,16,6,4
M621_J7toM1_EB,5,1,181,29,14,6,10,86,0
M621_J1_WB,10,8,43,124,14,5,0,84,1
M621_J6_WB,9,0,285,405,1,1,9,81,5
M621_J3toJ2A_EB,11,11,402,171,85,12,3,56,3
M621_J3toJ2A_WB,1,18,21,21,10,5,4,81,5
M621_J7toM1_EB,10,9,55,4,5,11,7,80,6
A38_M_NB,10,17,45,250,17,4,4,85,6
A38_M_NB,5,7,310,30,13,18,6,91,4
A38_M_NB,5,17,140,16,13,1,3,60,0
M621_J7_EB,1,11,145,8,37,6,5,100,1
M621_J6_WB,7,7,278,38,2,56,29,90,3
M621_J7_EB,7,17,66,28,11,10,25,79,6
M621_M1toJ7_WB,9,14,169,131,83,38,1,110,6
M621_J6toJ5_WB,3,2,53,259,19,24,5,80,6
M621_J1toM62_WB,3,20,66,374,8,5,3,88,2
M621_J6_WB,9,4,50,3,17,18,39,94,1
A38_M_NB,10,3,34,85,44,10,7,73,2
M621_J4_EB,9,18,153,95,14,3,6,85,0
A38_M_NB,7,2,470,68,8,13,2,76,2
M621_J7toM1_EB,10,15,45,123,23,1,4,81,1
M621_J3toJ2A_EB,8,6,359,719,9,6,5,96,4
M621_J1toM62_WB,9,9,144,296,19,2,5,80,2
M606_J2toJ1,7,3,254,67,1,8,5,83,1
M621_J6_WB,5,4,648,85,24,7,0,83,5
M621_J1toM62_WB,9,0,238,427,13,8,1,85,6
M621_J3toJ2A_WB,8,7,59,280,57,5,13,87,1
A38_M_NB,9,11,113,23,84,36,13,66,1
M621_J4_EB,10,21,439,147,44,21,7,87,3
M621_J4_EB,9,7,199,18,30,3,3,89,0
M621_J4_EB,5,10,102,144,10,7,1,84,2
M621_J7toM1_EB,4,21,206,180,12,16,7,79,1
M621_J4_WB,4,5,195,196,3,7,0,100,6
M621_J1_EB,3,0,0,231,15,20,1,82,0
M621_J1toM62_WB,9,18,36,29,14,3,7,69,5
M621_J4_WB,10,22,63,41,10,12,2,84,2
A38_M_NB,10,3,18,153,5,3,2,86,3
M621_J4_WB,4,22,170,25,59,139,5,71,1
M621_J4_WB,9,2,648,202,6,3,9,75,4
M606_J1toJ2,3,20,87,396,30,1,4,97,1
A38_M_NB,11,14,41,13,33,4,4,60,6
M606_J3toJ2,9,22,164,213,12,7,15,79,6
M621_J1_EB,3,17,71,391,23,44,4,70,5
M621_J3toJ2A_WB,4,3,205,1158,39,7,24,82,1
M621_J1toM62_WB,3,21,690,52,25,2,2,87,6
M621_M1toJ7_WB,6,7,152,221,34,5,4,84,2
A38_M_NB,9,10,23,217,3,7,86,59,0
M606_J1toJ2,7,9,37,107,12,7,2,82,1
A38_M_NB,9,3,68,33,18,7,13,93,6
M621_J4_EB,9,19,8,189,1,39,9,94,3
M606_J2toJ1,8,8,113,50,0,4,3,80,3
M621_J1toM62_WB,6,16,198,158,14,8,24,203,2
M606_J1toJ2,3,6,259,63,4,1,4,90,2
